predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Face Moisturizer,1.0,15,0,0,0,0,6,0,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0.0,0.5333333333333333,0.13333333333333333,0.5,3,2.1666666666666665,3,4,4,19,1.2666666666666666
Face Moisturizer,0.8,34,0,0,1,0,3,0,1,1,2,0,0,8,4,0,0,0,3,1,0,6,3,2,0,0,6,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,8,1,0.029411764705882353,0.23529411764705882,0.029411764705882353,0.1111111111111111,1,0.5555555555555556,2,0,13,41,1.2058823529411764
Face Serum,0.95,20,0,0,1,0,3,0,2,1,0,0,0,6,2,0,0,0,0,2,1,1,3,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,2,2,0,0.1,0.1,0.0,1.0,3,1.0,3,2,11,24,1.2
Face Moisturizer,0.95,30,0,0,0,0,3,0,0,2,2,0,0,7,3,0,0,0,2,1,0,1,5,2,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,4,0,0.03333333333333333,0.13333333333333333,0.0,0.6,3,0.8,3,2,11,32,1.0666666666666667
Face Moisturizer,0.9,21,0,0,1,0,1,0,1,0,0,0,0,3,3,0,1,0,9,5,0,1,4,1,0,0,4,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,1,7,0.09523809523809523,0.047619047619047616,0.3333333333333333,0.25,1,1.5,4,1,12,34,1.619047619047619
Shampoo,0.95,27,0,0,1,0,3,0,2,0,0,0,0,5,4,0,1,0,2,3,0,1,3,3,0,0,7,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,4,1,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.6,3,1.4,3,3,12,35,1.2962962962962963
Face Serum,0.95,25,0,0,1,0,3,0,1,0,1,0,0,4,2,0,1,0,1,2,3,1,4,2,0,0,4,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,3,1,0.12,0.12,0.04,0.4,2,1.6,4,1,14,30,1.2
Face Moisturizer,1.0,21,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,1,2,0,2,2,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,3,1,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.0,0,0.4,1,0,10,18,0.8571428571428571
Face Mask,0.95,26,0,0,0,0,1,0,2,0,2,1,0,6,4,0,0,0,6,4,0,2,4,0,0,0,4,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,5,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.5,2,0.8333333333333334,2,0,11,36,1.3846153846153846
Face Serum,1.0,26,0,0,1,0,5,0,2,0,1,0,0,5,2,0,2,0,1,2,3,1,4,5,0,0,4,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,4,1,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.4,2,1.6,4,1,14,38,1.4615384615384615
Face Moisturizer,1.0,32,0,0,0,0,3,0,2,0,0,3,0,6,0,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,2,0.0,0.125,0.0625,0.5,3,0.6666666666666666,3,2,7,32,1.0
Face Serum,0.95,26,0,0,1,0,1,0,0,2,1,0,0,11,4,0,0,0,1,1,1,2,1,0,0,0,5,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,2,1,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.2222222222222222,2,1.1111111111111112,3,1,12,31,1.1923076923076923
Face Moisturizer,0.8,17,0,0,0,0,1,0,1,0,1,0,0,7,3,0,0,0,2,1,0,1,2,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0.058823529411764705,0.0,0.058823529411764705,0.75,2,1.0,2,0,10,23,1.3529411764705883
Face Serum,1.0,21,0,0,1,0,2,0,3,2,0,0,0,5,2,0,0,0,3,1,1,2,3,0,0,0,3,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,3,0,0.09523809523809523,0.14285714285714285,0.0,0.0,0,0.5,1,0,12,28,1.3333333333333333
Sunscreen,0.95,32,0,0,0,0,1,0,1,0,1,0,0,9,4,0,0,0,2,1,0,2,3,0,5,0,6,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,3,1,0.03125,0.09375,0.03125,0.14285714285714285,1,0.8571428571428571,2,0,11,35,1.09375
Shampoo,0.95,37,0,0,1,0,4,0,1,0,0,0,0,6,5,0,1,0,11,4,0,0,3,3,0,0,4,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,5,7,0.02702702702702703,0.13513513513513514,0.1891891891891892,0.8,3,1.8,4,3,11,43,1.162162162162162
Acne Treatment,0.95,58,0,0,1,0,10,0,2,2,0,0,0,11,6,0,0,0,4,4,5,3,5,9,0,0,7,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,19,0,0.05172413793103448,0.3275862068965517,0.0,0.5454545454545454,3,1.5454545454545454,3,4,13,69,1.1896551724137931
Face Serum,1.0,21,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,6,5,0,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,2,4,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.3333333333333333,1,0.6666666666666666,2,0,8,27,1.2857142857142858
Face Moisturizer,1.0,30,0,0,0,0,1,0,1,0,1,0,0,7,4,0,0,0,2,1,0,1,3,0,5,0,6,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,2,1,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.14285714285714285,1,0.8571428571428571,2,0,11,32,1.0666666666666667
Face Moisturizer,1.0,25,0,0,0,0,3,0,1,0,1,3,0,6,3,0,0,0,1,2,0,1,3,0,1,0,5,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,4,0.04,0.0,0.16,0.3333333333333333,2,0.6666666666666666,2,0,12,30,1.2
Sunscreen,0.95,36,0,0,0,0,1,0,1,0,1,0,0,7,4,0,0,0,2,2,0,2,3,0,4,0,8,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,3,2,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.4444444444444444,3,0.7777777777777778,2,1,11,35,0.9722222222222222
Face Serum,0.95,36,0,0,1,0,7,0,1,4,1,2,0,3,1,0,0,0,1,4,2,3,3,3,0,0,4,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,12,2,0.08333333333333333,0.3333333333333333,0.05555555555555555,0.8333333333333334,3,1.3333333333333333,3,2,15,40,1.1111111111111112
Sunscreen,0.95,47,0,0,0,0,2,0,1,0,1,0,0,9,4,0,0,0,2,3,0,5,4,1,4,0,10,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,8,2,0.02127659574468085,0.1702127659574468,0.0425531914893617,0.42857142857142855,3,0.5,2,1,12,46,0.9787234042553191
Face Moisturizer,0.875,28,0,0,0,0,5,0,1,1,1,0,0,10,2,0,0,0,1,1,1,1,2,3,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,6,1,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.7,3,1.3,3,3,13,33,1.1785714285714286
Face Mask,0.95,19,0,0,0,0,4,0,1,0,0,0,0,4,1,0,0,0,5,3,0,2,2,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,7,4,0.05263157894736842,0.3684210526315789,0.21052631578947367,0.5,3,1.375,3,4,11,26,1.368421052631579
Face Moisturizer,0.65,13,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,6,2,0,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,5,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.25,1,1.5,4,1,9,18,1.3846153846153846
Conditioner,0.95,31,0,0,0,0,1,0,3,0,2,0,0,6,5,0,0,0,7,3,0,1,3,0,0,0,5,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,6,0.03225806451612903,0.0,0.1935483870967742,0.5714285714285714,3,1.2857142857142858,5,2,10,36,1.1612903225806452
Face Serum,1.0,26,0,0,1,0,8,0,0,0,1,1,0,3,2,0,0,0,5,3,1,1,3,3,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,7,3,0.07692307692307693,0.2692307692307692,0.11538461538461539,0.625,3,1.375,3,4,13,33,1.2692307692307692
Face Mask,0.95,22,0,0,0,0,1,0,1,0,0,0,0,6,3,0,0,0,9,3,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,7,0.0,0.0,0.3181818181818182,0.3333333333333333,1,1.6666666666666667,2,0,8,28,1.2727272727272727
Face Moisturizer,1.0,27,0,0,0,0,3,0,2,0,1,4,0,7,3,0,0,0,1,2,1,1,2,0,0,0,5,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,0,2,0.07407407407407407,0.0,0.07407407407407407,0.6666666666666666,2,0.75,2,0,12,32,1.1851851851851851
Sunscreen,0.95,37,0,0,0,0,5,0,1,0,1,0,0,8,4,0,0,0,1,2,1,1,4,3,5,0,6,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,6,3,0.02702702702702703,0.16216216216216217,0.08108108108108109,0.4444444444444444,3,0.8888888888888888,3,2,13,42,1.135135135135135
Face Serum,0.95,27,0,0,0,0,1,0,2,0,1,0,0,6,5,0,0,0,6,3,0,1,3,0,0,0,5,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,5,0.037037037037037035,0.0,0.18518518518518517,0.5714285714285714,3,1.2857142857142858,5,2,10,33,1.2222222222222223
Face Moisturizer,1.0,19,0,0,1,0,2,0,1,1,2,0,0,6,4,0,0,0,1,2,1,1,2,0,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0.10526315789473684,0.0,0.0,0.0,0,0.4,1,0,13,27,1.4210526315789473
